cnid	path	valence	created	modified
2	Clic!	26	1997-02-07 13:16:32	1997-02-14 16:40:53
18	Clic!/Desktop Folder	0	1997-02-10 16:50:13	1997-02-10 16:50:13
1680	Clic!/down	1	1997-02-11 16:00:35	1997-02-13 11:00:24
2086	Clic!/img	364	1997-02-11 15:59:50	1997-02-14 10:19:16
282	Clic!/leader	10	1997-02-11 16:56:31	1997-02-13 11:00:16
1076	Clic!/magdemo	46	1997-02-11 17:40:35	1997-02-13 11:00:15
1675	Clic!/museo	4	1997-02-11 16:00:46	1997-02-13 11:00:15
30	Clic!/numeri	1	1997-02-11 15:59:38	1997-02-13 11:00:14
2604	Clic!/pag	287	1997-02-11 16:00:20	1997-02-14 10:17:51
2084	Clic!/pre	1	1997-02-11 16:00:34	1997-02-13 11:00:11
2054	Clic!/rete	29	1997-02-11 16:00:19	1997-02-13 11:00:11
3045	Clic!/Temporary Items	0	1997-02-14 10:41:55	1997-02-14 10:41:55
2700	Clic!/Trash	0	1997-02-13 21:38:27	1997-02-13 21:38:27
1682	Clic!/ville	24	1997-02-11 16:00:46	1997-02-13 11:00:10
31	Clic!/numeri/clic297	28	1997-02-11 15:59:38	1997-02-13 21:35:37
54	Clic!/numeri/clic297/cop	13	1997-02-11 15:59:38	1997-02-11 09:02:11
156	Clic!/numeri/clic297/edicola	21	1997-02-11 15:59:39	1997-02-13 21:37:02
68	Clic!/numeri/clic297/internet	63	1997-02-11 15:59:40	1997-02-11 09:01:46
132	Clic!/numeri/clic297/piazza	19	1997-02-11 15:59:42	1997-02-11 09:00:20
177	Clic!/numeri/clic297/posta	104	1997-02-11 15:59:43	1997-02-11 09:01:10
152	Clic!/numeri/clic297/tecnico	3	1997-02-11 15:59:49	1997-02-11 08:59:50
302	Clic!/leader/CATALOGO	33	1997-02-11 16:58:11	1996-10-01 09:10:48
1046	Clic!/leader/DATA	26	1997-02-11 16:56:42	1996-08-01 00:44:02
288	Clic!/leader/DEMODATA	13	1997-02-11 16:58:00	1996-09-14 21:32:58
1073	Clic!/leader/QTW	2	1997-02-11 16:58:01	1995-10-02 14:24:30
1025	Clic!/leader/TOMB	20	1997-02-11 16:58:06	1995-06-19 20:27:00
565	Clic!/leader/CATALOGO/IMAGES	212	1997-02-11 16:58:17	1996-03-26 16:13:04
829	Clic!/leader/CATALOGO/INFO	193	1997-02-11 16:58:29	1996-11-08 13:20:12
329	Clic!/leader/CATALOGO/REQUISIT	189	1997-02-11 17:00:00	1996-03-20 11:15:12
778	Clic!/leader/CATALOGO/REVIEW	50	1997-02-11 17:00:07	1996-03-21 12:45:08
519	Clic!/leader/CATALOGO/SYSTEM	18	1997-02-11 17:00:08	1994-05-17 14:13:38
538	Clic!/leader/CATALOGO/TRYOUT	26	1997-02-11 17:00:14	1996-05-14 09:39:32
1023	Clic!/leader/CATALOGO/VIDEO	1	1997-02-11 17:08:17	1996-10-01 09:10:48
1422	Clic!/magdemo/FONTS	62	1997-02-11 17:42:21	1996-08-07 17:33:32
1657	Clic!/magdemo/HELPE	17	1997-02-11 17:42:26	1996-08-20 18:18:02
1639	Clic!/magdemo/HELPF	17	1997-02-11 17:42:27	1996-11-22 12:32:52
1621	Clic!/magdemo/HELPG	17	1997-02-11 17:42:27	1996-11-11 20:46:26
1603	Clic!/magdemo/HELPI	17	1997-02-11 17:42:28	1996-12-10 17:38:34
1485	Clic!/magdemo/HPICS	41	1997-02-11 17:42:28	1996-09-02 15:13:56
1527	Clic!/magdemo/IMOLA	17	1997-02-11 17:42:31	1996-11-15 19:30:04
1173	Clic!/magdemo/LIGHTS	10	1997-02-11 17:42:34	1994-12-20 18:08:48
1207	Clic!/magdemo/OBJECTS	214	1997-02-11 17:42:35	1996-01-03 11:35:02
1147	Clic!/magdemo/OLDCARS.NOR	25	1997-02-11 17:42:44	1996-09-11 12:42:44
1545	Clic!/magdemo/PICS	57	1997-02-11 17:42:46	1996-06-28 12:00:28
1109	Clic!/magdemo/PITSMACK	23	1997-02-11 17:42:50	1996-06-10 13:48:26
1184	Clic!/magdemo/SAMPLES	22	1997-02-11 17:42:52	1996-10-23 17:41:58
1133	Clic!/magdemo/TEXTURES	13	1997-02-11 17:42:54	1996-11-11 18:42:06
2046	Clic!/ville/DOC	7	1997-02-11 16:07:19	1996-10-20 13:09:16
1988	Clic!/ville/IMML	54	1997-02-11 16:06:05	1996-07-19 17:11:38
1934	Clic!/ville/IMMS	53	1997-02-11 16:06:22	1996-07-19 17:13:12
1709	Clic!/ville/IMMVS	224	1997-02-11 16:06:27	1996-09-03 09:04:24
1700	Clic!/ville/MUSIC	2	1997-02-11 16:06:36	1996-06-18 14:48:26
1703	Clic!/ville/SPEAK	5	1997-02-11 16:07:08	1996-10-18 09:35:14
2043	Clic!/ville/VIDEO	2	1997-02-11 16:07:12	1996-10-18 09:22:02
2553	Clic!/img/clic10	7	1997-02-11 15:59:50	1997-02-13 11:00:58
2526	Clic!/img/clic11	26	1997-02-11 15:59:50	1997-02-13 11:00:57
2503	Clic!/img/clic12	22	1997-02-11 15:59:52	1997-02-13 11:00:57
2483	Clic!/img/clic197	19	1997-02-11 15:59:55	1997-02-13 11:00:57
2445	Clic!/img/clic297	37	1997-02-11 15:59:57	1997-02-13 20:40:07
2561	Clic!/img/voti	42	1997-02-11 16:00:17	1997-02-13 11:00:55
