cnid	path	type	creator	data_len	data_ab	rsrc_len	rsrc_ab	created	modified	data_lba	data_extents	rsrc_extents
21	Clic!/autorun.inf	TEXT	LMAN	27	49625	0	-1	1997-02-11 16:00:35	1997-02-12 15:16:32	248268.0000	49625+1	
19	Clic!/catal.htm	TEXT	R*ch	1135	205	670	204	1997-02-11 16:00:34	1997-02-14 17:03:32	1168.0000	205+1	204+1
22	Clic!/credits.htm	TEXT	LMAN	1750	49627	0	-1	1997-02-11 16:00:34	1997-02-12 19:50:58	248278.0000	49627+1	
24	Clic!/demo.htm	TEXT	R*ch	1429	207	670	206	1997-02-11 16:00:34	1997-02-14 16:42:18	1178.0000	207+1	206+1
17	Clic!/Desktop DB	BTFL	DMGR	40960	49632	0	-1	1997-02-07 13:16:32	1997-02-12 16:15:20	248303.0000	49632+4	
16	Clic!/Desktop DF	DTFL	DMGR	0	49636	0	-1	1997-02-07 13:16:32	1997-02-12 16:15:20	248323.0000	49636+7	
28	Clic!/glamm.htm	TEXT	LMAN	535	49623	0	-1	1997-02-11 16:00:34	1997-02-11 10:29:08	248258.0000	49623+1	
2697	Clic!/index.htm	TEXT	LMAN	1081	49434	0	-1	1997-02-11 16:00:34	1997-02-13 21:23:18	247313.0000	49434+1	
26	Clic!/leggimi.txt	TEXT	MSWD	2433	49525	0	-1	1997-02-11 16:00:35	1997-02-14 16:40:49	247768.0000	49525+1	
25	Clic!/MAPPONE.MAP	TEXT	LMAN	1026	49624	0	-1	1997-02-13 11:36:09	1997-02-13 11:13:58	248263.0000	49624+1	
27	Clic!/prod.htm	TEXT	R*ch	1896	211	670	210	1997-02-11 16:00:34	1997-02-14 16:57:58	1198.0000	211+1	210+1
29	Clic!/SETUPIE.exe	DEXE	LMAN	16896	49522	0	-1	1997-02-12 19:38:20	1997-02-12 15:16:04	247753.0000	49522+2	
20	Clic!/VB40032.DLL	DEXE	LMAN	721168	49552	0	-1	1997-02-12 19:38:00	1995-08-15 00:00:00	247903.0000	49552+71	
52	Clic!/numeri/clic297/cardfro.gif	TEXT	LMAN	72447	333	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:40	1808.0000	333+8	
51	Clic!/numeri/clic297/cardfro_orig.gif	TEXT	LMAN	165828	316	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:40	1723.0000	316+17	
41	Clic!/numeri/clic297/carto.htm	TEXT	LMAN	543	306	0	-1	1997-02-12 19:43:49	1997-02-12 19:38:12	1673.0000	306+1	
48	Clic!/numeri/clic297/cartolina.htm	TEXT	LMAN	543	313	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:16	1708.0000	313+1	
32	Clic!/numeri/clic297/coda.htm	TEXT	LMAN	387	49550	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:12	247893.0000	49550+1	
44	Clic!/numeri/clic297/construction.htm	TEXT	LMAN	688	309	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:12	1688.0000	309+1	
47	Clic!/numeri/clic297/copertina.htm	TEXT	LMAN	2052	312	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:12	1703.0000	312+1	
37	Clic!/numeri/clic297/credits.htm	TEXT	LMAN	1749	302	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:12	1653.0000	302+1	
50	Clic!/numeri/clic297/credits_t.htm	TEXT	LMAN	1807	315	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:12	1718.0000	315+1	
2698	Clic!/numeri/clic297/home.htm	TEXT	LMAN	3210	49435	0	-1	1997-02-11 15:59:49	1997-02-13 20:52:42	247318.0000	49435+1	
34	Clic!/numeri/clic297/hometxt.htm	TEXT	LMAN	1474	49551	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:14	247898.0000	49551+1	
39	Clic!/numeri/clic297/index.htm	TEXT	LMAN	3068	304	0	-1	1997-02-11 15:59:49	1997-02-12 19:38:14	1663.0000	304+1	
42	Clic!/numeri/clic297/index_t.htm	TEXT	LMAN	2147	307	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:18	1678.0000	307+1	
43	Clic!/numeri/clic297/maplivel2.txt	TEXT	MSWD	793	308	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:18	1683.0000	308+1	
45	Clic!/numeri/clic297/mappa2.html	TEXT	LMAN	1588	310	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:20	1693.0000	310+1	
33	Clic!/numeri/clic297/mhome.htm	TEXT	LMAN	2202	49549	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:20	247888.0000	49549+1	
49	Clic!/numeri/clic297/mindex.htm	TEXT	LMAN	554	314	0	-1	1997-02-11 15:59:49	1997-02-11 08:59:20	1713.0000	314+1	
35	Clic!/numeri/clic297/mond.gif	TEXT	LMAN	1031	300	0	-1	1997-02-11 15:59:50	1997-02-11 08:59:32	1643.0000	300+1	
